Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: 0.02
Resulting threshold value (mean proportion of SNPs): 0.02 
770 loci were removed:
locus	mean_prop_SNPs
3G08960	0.0243
3G09090	0.031
3G10030	0.0214
3G10230	0.0355
3G10380	0.0259
3G11220	0.0234
3G11460	0.0245
3G11540	0.0292
3G11960	0.0246
3G11964	0.0212
3G12280	0.0472
3G12610	0.0294
3G13490	0.0347
3G15380	0.0349
3G15550	0.0383
3G16270	0.0314
3G16910	0.0226
3G17640	0.0379
3G17810	0.028
3G17830	0.0232
3G17900	0.0316
3G18290	0.0296
3G18524	0.0208
3G19553	0.032
3G19630	0.0219
3G19810	0.0258
3G19970	0.0277
3G19990	0.0313
3G20050	0.0343
3G20240	0.0354
3G20260	0.0338
3G20630	0.0297
3G20920	0.0247
3G21420	0.0234
3G21720	0.0203
3G22170	0.0363
3G23020	0.0252
3G23430	0.0252
3G24170	0.0362
3G25430	0.041
3G25660	0.0256
3G26090	0.0324
3G26410	0.0307
3G26670	0.03
3G26700	0.0312
3G27820	0.0265
3G28040	0.0279
3G29320	0.0231
3G46220	0.0207
3G47400	0.0216
3G47700	0.0225
3G48150	0.0304
3G48380	0.02
3G48610	0.0216
3G48820	0.0381
3G50620	0.0251
3G50660	0.0327
3G51470	0.0276
3G51490	0.0275
3G51930	0.0318
3G52200	0.0293
3G52970	0.0209
3G53150	0.029
3G53180	0.0608
3G54690	0.0507
3G54790	0.0355
3G54860	0.0226
3G55070	0.0338
3G56120	0.03
3G56310	0.0227
3G56370	0.0344
3G56940	0.0296
3G57180	0.0242
3G57300	0.0261
3G57610	0.0405
3G60830	0.0419
3G61960	0.0267
4G00450	0.035
4G00550	0.0244
4G00740	0.0222
4G00910	0.0396
4G01037	0.0265
4G01320	0.0236
4G01570	0.0221
4G01730	0.0217
4G01880	0.031
4G02030	0.0224
4G02260	0.0237
4G02460	0.0249
4G02680	0.0279
4G02730	0.0216
4G02780	0.022
4G02990	0.0254
4G03020	0.0389
4G03220	0.0211
4G03260	0.0317
4G04640	0.0367
4G05090	0.029
4G08920	0.0216
4G11120	0.0347
4G15420	0.0215
4G16144	0.0251
4G16570	0.045
4G16660	0.0211
4G17090	0.0468
4G17230	0.0312
4G17830	0.0265
4G18010	0.0366
4G18060	0.0243
4G18340	0.0452
4G18830	0.0486
4G18950	0.0435
4G19180	0.0319
4G19460	0.0375
4G20050	0.034
4G20060	0.0291
4G20070	0.0279
4G20090	0.024
4G21350	0.0334
4G21680	0.0403
4G21770	0.025
4G22720	0.045
4G24190	0.0474
4G24220	0.039
4G24610	0.0245
4G24620	0.0272
4G24740	0.0257
4G24790	0.0317
4G24830	0.0431
4G26750	0.0325
4G27640	0.0205
4G28080	0.0306
4G28220	0.0299
4G29010	0.0448
4G29310	0.0232
4G29810	0.0259
4G30490	0.0248
4G30600	0.0407
4G30790	0.0409
4G31200	0.0214
4G31540	0.0444
4G31770	0.0268
4G31850	0.025
4G32430	0.0228
4G32910	0.0216
4G33210	0.0337
4G33330	0.0377
4G33410	0.0357
4G33440	0.036
4G33760	0.0373
4G33945	0.0324
4G34260	0.0249
4G34350	0.0298
4G34850	0.0361
4G35560	0.0225
4G35760	0.0372
4G35870	0.0248
4G35880	0.0212
4G36390	0.0244
4G36630	0.0278
4G36790	0.0219
4G37030	0.0239
4G38010	0.0246
4G39850	0.0291
5G01360	0.0368
5G01380	0.0392
5G02270	0.028
5G02480	0.0317
5G02810	0.0395
5G03070	0.0259
5G03280	0.0353
5G03430	0.0444
5G04360	0.0204
5G04480	0.0291
5G04550	0.0468
5G04710	0.022
5G04930	0.0364
5G05200	0.0225
5G05680	0.0233
5G05840	0.0202
5G08030	0.0233
5G08280	0.051
5G08310	0.0289
5G08415	0.0325
5G08490	0.0266
5G08530	0.0344
5G08580	0.0308
5G08660	0.0396
5G10900	0.0268
5G11390	0.0345
5G11560	0.031
5G11960	0.0311
5G12040	0.0353
5G12290	0.0224
5G12470	0.0404
5G12900	0.0398
5G13020	0.0354
5G13030	0.0336
5G13230	0.0224
5G13420	0.0369
5G13560	0.0276
5G13630	0.0211
5G13640	0.0373
5G13770	0.0248
5G14210	0.0275
5G14230	0.0374
5G14450	0.0211
5G14510	0.0288
5G14700	0.0403
5G14950	0.0317
5G15300	0.0236
5G15400	0.0304
5G15540	0.0242
5G15710	0.0281
5G15880	0.0267
5G16280	0.0225
5G16300	0.0369
5G16310	0.0281
5G17230	0.0362
5G17250	0.0212
5G17620	0.0248
5G17860	0.0277
5G18580	0.0363
5G18670	0.0422
5G18700	0.0289
5G18830	0.0355
5G19130	0.0266
5G19180	0.0322
5G19350	0.0391
5G19640	0.0232
5G19680	0.0393
5G19690	0.0377
5G19730	0.0225
5G20270	0.0481
5G20350	0.0602
5G20890	0.0471
5G20990	0.0202
5G21930	0.0272
5G21970	0.0263
5G21990	0.0325
5G22030	0.0268
5G22260	0.0229
5G22330	0.0482
5G22350	0.0202
5G22450	0.032
5G22510	0.0211
5G22800	0.0202
5G22850	0.0378
5G23300	0.0239
5G23340	0.0336
5G24240	0.0305
5G24810	0.029
5G25230	0.0261
5G26570	0.0448
5G30510	0.0264
5G36880	0.0257
5G38530	0.0282
5G39040	0.0202
5G39500	0.035
5G40405	0.0208
5G40740	0.034
5G43920	0.0207
5G44000	0.0231
5G44240	0.0233
5G44370	0.0284
5G46070	0.0434
5G46100	0.0339
5G46220	0.0378
5G46580	0.0279
5G47010	0.023
5G47690	0.027
5G47780	0.0232
5G48270	0.0386
5G48385	0.0344
5G48800	0.025
5G49030	0.0261
5G49070	0.0201
5G49430	0.0232
5G49890	0.0294
5G51150	0.0225
5G51690	0.0217
5G51970	0.0224
5G52280	0.0249
5G52580	0.0209
5G52850	0.0225
5G53000	0.0343
5G53320	0.0287
5G53480	0.0225
5G53920	0.0206
5G53970	0.0205
5G54180	0.0218
5G54260	0.023
5G54690	0.0356
5G54830	0.0253
5G55540	0.0202
5G55960	0.0337
5G56220	0.0253
5G56290	0.0307
5G56580	0.0339
5G56730	0.0226
5G57800	0.0462
5G58020	0.0341
5G58230	0.0346
5G58330	0.0375
5G58410	0.0247
5G58430	0.0388
5G58470	0.0332
5G58510	0.0223
5G58750	0.026
5G58940	0.0243
5G59900	0.0298
5G60020	0.0436
5G60450	0.026
5G60750	0.0264
5G60790	0.0387
5G60980	0.0276
5G61400	0.0256
5G61560	0.0383
5G61865	0.0266
5G62130	0.0397
5G62310	0.02
5G62370	0.0252
5G63010	0.0328
5G63050	0.0381
5G63410	0.0219
5G63640	0.0358
5G63770	0.034
5G63840	0.0222
5G63860	0.0398
5G64270	0.0367
5G64370	0.0272
5G65500	0.0281
5G66680	0.0327
5G67430	0.0204

Paralogs removed for each sample:
Sample	threshold	#removed	names
PAFTOL_019361 	0.01096	6	5670, 5634, 6041, 2G41700, 3G22980, 4G14940
S_670 	0.02499	15	7325, 7024, 6791, 6457, 1G16770, 1G61600, 1G76730, 2G26170, 3G01060, 3G14470, 3G55580, 5G26820, 5G36890, 5G40820, 5G63920
S0055 	0.02445	20	5960, 6366, 6531, 6601, 5968, 6792, 5926, 6540, 1G05960, 1G59980, 2G04842, 2G18760, 2G41700, 3G48110, 3G55160, 5G27970, 5G50320, 5G51540, 5G53580, 5G54570
S0156 	0.02548	14	6299, 5162, 6660, 5513, 6531, 5271, 6227, 1G24706, 2G31740, 3G12810, 5G20170, 5G35460, 5G49810, 5G63420
S0196sl 	0.00972	11	6933, 5038, 6689, 5642, 6483, 6854, 1G10910, 1G77405, 1G79560, 4G04350, 5G49830
S0268 	0.01972	21	5513, 7024, 7021, 6969, 6791, 6407, 5822, 1G03090, 1G14300, 1G21640, 1G55250, 4G16420, 5G11330, 5G16420, 5G26820, 5G40480, 5G40820, 5G50160, 5G51070, 5G54080, 5G66960
S0275 	0.08789	16	6303, 5968, 6552, 7333, 1G24706, 1G69860, 2G26690, 4G33080, 5G06120, 5G06970, 5G17530, 5G23050, 5G23060, 5G27970, 5G54570, 5G60570
S0277 	0.07978	7	5264, 5271, 3G14910, 3G43240, 5G27970, 5G60600, 5G63420
S0278 	0.02889	7	7313, 5980, 7273, 6383, 6797, 1G15980, 4G17370
S0279 	0.10961	3	3G17880, 4G14940, 5G50160
S0280 	0.03096	11	6540, 1G21640, 1G31360, 2G04842, 2G32290, 3G49400, 3G58520, 4G04970, 4G17370, 5G07590, 5G35410
S0281 	0.04479	10	5273, 7279, 7324, 7333, 2G26200, 2G40860, 3G01150, 4G17380, 5G17530, 5G51750
S0282 	0.01331	20	6393, 4471, 6303, 6056, 5922, 6791, 5271, 7361, 1G14300, 1G55250, 1G60560, 3G44330, 3G55160, 4G04970, 4G10020, 5G40820, 5G51070, 5G54080, 5G60570, 5G63920
S0283 	0.04322	8	5933, 6506, 6713, 5656, 5866, 1G77405, 3G48425, 5G45900
S0284 	0.04193	7	7279, 6864, 6407, 3G05350, 3G18730, 3G19180, 5G60600
S0285 	0.10521	0	
S0286 	0.10132	3	6969, 1G69860, 5G35410
S0288 	0.03477	13	5670, 1G55590, 1G77405, 1G79560, 2G32290, 2G40770, 3G16150, 3G48425, 3G62130, 4G23540, 5G47040, 5G48520, 5G60600
S0289 	0.0307	15	6393, 6660, 4992, 6791, 6540, 1G10910, 1G16770, 1G55250, 1G68050, 3G49400, 4G16420, 5G16420, 5G23880, 5G40480, 5G60600
S0292 	0.01852	23	6933, 6384, 6406, 5922, 7273, 5968, 6488, 6227, 5822, 7296, 1G30010, 1G59980, 1G69860, 1G77405, 2G34960, 3G05350, 4G17380, 4G34310, 5G06120, 5G11330, 5G35560, 5G36890, 5G40440
S0293 	0.01848	23	5104, 6299, 6893, 5513, 5922, 5398, 6407, 6797, 6540, 6968, 1G14300, 1G55250, 1G68930, 1G76730, 2G26800, 2G41700, 4G17380, 4G26090, 4G39470, 5G26820, 5G40820, 5G41800, 5G60570
S0294 	0.03223	22	5489, 5980, 6977, 6041, 5271, 6379, 6454, 1G15980, 1G24706, 1G67550, 2G26690, 3G19180, 3G22980, 3G43240, 4G27790, 4G33080, 5G06120, 5G06970, 5G23050, 5G23880, 5G54570, 5G60570
S0297 	0.04387	16	6933, 5489, 6779, 6865, 5943, 1G10240, 1G27460, 1G68930, 1G73990, 2G13610, 2G40770, 5G02820, 5G07590, 5G49810, 5G49830, 5G50210
S0298 	0.11071	4	1G61600, 1G67840, 4G10020, 5G54080
S0299 	0.01291	21	6848, 6864, 6150, 6689, 7331, 7273, 5974, 6538, 6924, 6454, 1G18270, 1G65380, 1G76730, 3G06920, 3G09650, 3G16150, 3G49400, 4G08150, 5G06120, 5G39710, 5G51340
S0300 	0.0595	20	6992, 4744, 7313, 6531, 6041, 6969, 6631, 1G01220, 1G10240, 1G24706, 1G73990, 2G26690, 3G22980, 3G43300, 4G30720, 4G33080, 5G06120, 5G06970, 5G23050, 5G54570
S0301 	0.01729	19	6660, 7325, 7135, 7021, 5968, 5656, 1G04730, 1G14300, 1G31800, 1G55250, 2G35500, 3G17880, 3G48425, 4G10020, 4G14940, 4G17380, 5G22750, 5G40820, 5G41800
S0303 	0.01939	15	5670, 7325, 5822, 6448, 6540, 6572, 1G31360, 1G55590, 4G17370, 4G20850, 4G26090, 5G47040, 5G53580, 5G60600, 5G66960
S0305 	0.05108	9	6056, 1G04730, 1G60560, 2G07360, 3G16150, 3G43300, 4G20850, 5G27970, 5G54080
S0306 	0.08289	3	1G73990, 2G35500, 4G33080
S0308 	0.02486	14	5104, 6552, 6488, 5271, 7333, 1G30010, 3G09650, 3G48110, 4G09750, 4G16420, 4G17370, 4G23540, 5G16420, 5G47040
S0312 	0.05263	8	7021, 1G60070, 2G42750, 2G47600, 3G01150, 4G09750, 4G14940, 4G27790
S0315 	0.06757	16	6506, 6056, 6649, 7273, 5822, 6924, 1G60560, 1G68930, 2G07360, 2G26800, 3G02260, 3G14120, 3G43300, 5G49810, 5G51070, 5G51830
S0317 	0.06496	15	7331, 5634, 6227, 7333, 6572, 2G07360, 2G26800, 3G01150, 3G12590, 3G58520, 4G26090, 5G06120, 5G18525, 5G35460, 5G41800
S0320 	0.0115	21	6393, 6864, 6216, 7572, 5733, 7331, 7028, 7367, 6791, 5304, 5866, 7296, 2G29560, 3G01150, 3G27730, 5G19610, 5G35460, 5G40440, 5G47040, 5G51750, 5G53580
S0322 	0.04048	10	4471, 6406, 6540, 1G55250, 4G16420, 4G17370, 5G02820, 5G16420, 5G60600, 5G65990
S0323 	0.05983	13	6865, 6056, 7331, 7028, 7194, 1G21640, 1G60560, 1G67840, 2G07360, 3G01150, 3G05350, 5G20170, 5G27970
S0327 	0.04218	8	6393, 6366, 6791, 5822, 3G44880, 4G17370, 5G20170, 5G50210
S0329 	0.00813	7	6393, 6992, 4744, 6216, 5642, 6527, 3G49400
S0331 	0.05546	9	6864, 3G12590, 3G16150, 4G26090, 5G06120, 5G13530, 5G27970, 5G35460, 5G66960
S0335 	0.01564	12	7135, 5642, 6458, 6527, 6791, 5656, 6540, 1G67840, 1G71220, 3G49400, 3G55160, 4G14940
S0345 	0.00945	10	5273, 5960, 7279, 6865, 6488, 6029, 5866, 6968, 1G05960, 4G09140
S0346 	0.09656	7	4848, 1G69860, 2G26200, 2G40860, 5G11380, 5G35410, 5G65990
S0355 	0.05754	1	
S0371 	0.07152	9	2G07360, 3G16150, 4G20850, 5G37830, 5G40440, 5G48520, 5G50210, 5G50320, 5G51750
S0373 	0.11087	0	
S0376 	0.0101	15	5960, 6483, 6029, 1G05960, 1G55250, 1G67550, 1G69860, 1G73990, 2G26690, 3G55580, 4G23940, 4G30720, 5G27970, 5G39830, 5G54570
S0377 	0.04645	23	6995, 6978, 6526, 6865, 6056, 6705, 5634, 6713, 5968, 6407, 6227, 7296, 1G16720, 1G27460, 1G60560, 1G77405, 2G07360, 2G41670, 3G01150, 3G52940, 4G20850, 5G06120, 5G54080
S0380 	0.05047	19	6864, 6056, 1G24706, 1G31360, 1G55590, 1G60560, 2G07360, 3G05350, 3G12590, 3G14120, 3G43300, 4G27790, 5G02820, 5G16210, 5G17530, 5G27970, 5G35460, 5G41800, 5G49810
S0381 	0.02145	10	6933, 6779, 7135, 6531, 6488, 1G31360, 1G68050, 3G06920, 5G18525, 5G45900
S0383 	0.07618	10	1G03090, 1G24706, 2G26690, 4G33080, 5G06120, 5G17530, 5G23050, 5G54570, 5G60570, 5G65990
S0384 	0.03014	13	5273, 6483, 5822, 2G26200, 2G40860, 3G05350, 4G16420, 4G23940, 5G16420, 5G19610, 5G26820, 5G49810, 5G60600
S0385 	0.06614	10	6864, 6056, 1G24706, 1G60560, 3G06920, 3G14120, 4G17370, 5G06120, 5G17530, 5G49810
S0400 	0.00962	14	6393, 4744, 7325, 7024, 7021, 5398, 5271, 6797, 1G55250, 3G01060, 5G23880, 5G26820, 5G35460, 5G35560
S0403sl 	0.0087	13	5264, 7331, 6969, 5528, 6398, 1G16770, 1G24706, 1G57770, 1G72500, 3G27870, 4G08150, 5G27970, 5G35460
S0405 	0.01065	23	6992, 5513, 5642, 6977, 7577, 6713, 6732, 7021, 5656, 1G16770, 1G59980, 2G07360, 2G26690, 2G41700, 3G52940, 4G36180, 5G17530, 5G23880, 5G26820, 5G35410, 5G40480, 5G54570, 5G58600
S0407sl 	0.01924	12	5038, 7324, 5733, 6689, 5922, 6378, 6977, 1G04730, 3G05350, 5G26820, 5G27970, 5G63420
S0412sl 	0.01394	16	7313, 6649, 7194, 7577, 7367, 6552, 6791, 6383, 5926, 4848, 6968, 1G06590, 3G12590, 3G44880, 3G55580, 5G66960
S0416 	0.0355	18	5960, 6689, 5642, 6531, 4992, 6791, 6407, 1G05960, 2G40860, 3G01150, 3G10700, 3G18730, 3G52940, 4G27790, 4G39470, 5G11330, 5G20170, 5G35410
S0417 	0.01832	26	4471, 5273, 7324, 7313, 6366, 6689, 4992, 6791, 6227, 1G71220, 2G32290, 2G41700, 3G01060, 3G05350, 3G55580, 4G04350, 4G17370, 4G26090, 4G35850, 5G06120, 5G07590, 5G11330, 5G22750, 5G40820, 5G48520, 5G63420
S0419 	0.01042	17	6992, 6366, 5733, 6378, 4992, 6969, 1G06590, 1G79560, 2G25660, 2G34960, 3G14470, 3G14910, 4G04350, 4G17370, 4G17380, 4G34310, 5G51200
S0420sl 	0.07175	7	1G06590, 2G29560, 2G41670, 3G18730, 3G27670, 5G11330, 5G54080
S0421 	0.05695	9	6848, 7325, 1G16720, 1G76730, 2G26800, 3G52940, 5G20170, 5G23050, 5G53580
S0424 	0.04078	5	5264, 1G04730, 3G49400, 5G20170, 5G39710
S0427 	0.00912	10	6933, 5670, 6384, 6797, 1G11000, 3G27730, 4G10950, 4G39470, 5G39710, 5G40480
S0428sl 	0.0331	14	7313, 6366, 7331, 5922, 6649, 6378, 6458, 4992, 7367, 6552, 5943, 6227, 1G18270, 3G04340
S0430 	0.02313	16	6995, 5670, 4471, 7325, 6029, 6227, 5822, 6448, 1G01770, 1G31360, 1G55590, 2G32290, 3G62130, 4G17370, 4G39470, 5G60600
S0435 	0.10301	2	4744, 5G11330
S0436 	0.03603	19	5264, 6056, 6977, 5968, 7367, 5271, 6383, 1G01220, 1G16770, 1G60560, 1G67550, 3G01060, 3G10700, 3G27730, 3G48425, 4G26090, 5G35410, 5G45780, 5G49810
S0450 	0.02369	10	6056, 6854, 6379, 1G04730, 1G55250, 1G60560, 1G79560, 5G45780, 5G49810, 5G63420
S0464 	0.03222	27	5489, 6864, 5922, 5968, 5943, 6398, 1G10240, 1G68930, 1G79150, 1G79560, 2G07360, 2G34640, 2G47600, 3G04340, 3G05350, 3G14120, 3G55580, 4G20850, 5G06120, 5G07590, 5G13530, 5G20170, 5G27970, 5G41800, 5G51070, 5G54080, 5G66960
S0478 	0.01533	23	6933, 5104, 5273, 7324, 5933, 6779, 6150, 6506, 6366, 6458, 4992, 5531, 5304, 1G01770, 1G55250, 2G41670, 3G04340, 3G16150, 4G34310, 5G22750, 5G40480, 5G60570, 5G65950
S0509 	0.08871	11	6483, 5968, 5531, 6924, 1G27460, 3G19180, 3G44880, 4G04350, 5G58480, 5G58600, 5G65950
S0512sl 	0.06393	3	5822, 6792, 4G09140
S0521 	0.12408	4	1G69860, 2G34960, 5G35410, 5G51750
S0547 	0.08265	3	6448, 1G16770, 5G51540
S0552sl 	0.01491	25	5733, 7135, 5634, 6713, 5968, 5943, 6791, 5866, 6572, 1G21640, 1G49040, 1G73960, 2G25660, 3G09650, 3G17880, 4G10020, 4G10950, 4G39470, 5G06940, 5G11380, 5G35410, 5G36890, 5G39830, 5G40440, 5G50160
S0555 	0.05091	6	7028, 6792, 1G01220, 2G25660, 4G17380, 5G06120
S0558 	0.00853	8	6779, 1G60070, 1G68930, 1G79150, 3G48425, 4G09140, 5G36890, 5G63420
S0560 	0.07807	8	6864, 1G10240, 2G29560, 2G47600, 4G34310, 5G35460, 5G40440, 5G60570
S0562 	0.08951	5	2G26170, 3G05350, 3G14470, 4G30720, 5G51540
S0577 	0.03352	17	5489, 6366, 6969, 5528, 6448, 1G24706, 1G71220, 2G26200, 2G40840, 2G47600, 3G14910, 3G43300, 5G06120, 5G49830, 5G50170, 5G50320, 5G51200
S0583 	0.05773	11	5634, 7024, 6379, 7296, 1G68930, 2G07360, 3G01150, 3G14120, 4G20850, 5G27970, 5G65950
S0590 	0.0821	7	7296, 1G01220, 1G68930, 3G55580, 5G13530, 5G35460, 5G36890
S0591 	0.04339	12	6393, 5960, 5980, 7577, 6379, 1G05960, 1G15980, 1G55590, 4G39470, 5G20170, 5G40820, 5G50320
S0593 	0.10219	0	
S0612 	0.04961	6	5513, 1G16770, 5G06940, 5G40820, 5G45900, 5G54570
S0613sl 	0.03383	9	7371, 5733, 6538, 1G65380, 1G67550, 2G29560, 4G14940, 5G23880, 5G66960
